tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
yellow,0.984961,-2.109771,0.0,0.070104,0.069934,0.000085
blue,1.016315,2.031695,0.0,0.065726,0.065635,0.000239
big_orange,5.702255,-2.111838,0.0,0.066831,0.065733,0.000757
big_orange,6.220767,2.029332,0.0,0.079462,0.074743,0.002848
blue,3.314470,-64.278834,0.0,0.075111,0.069697,0.000555
yellow,10.970109,-2.131777,0.0,0.089495,0.077314,-0.003107
big_orange,6.202039,-2.114668,0.0,0.078632,0.065757,-0.000180
big_orange,5.708258,2.026264,0.0,0.076594,0.069613,0.004505
blue,15.922341,2.039632,0.0,0.065783,0.065870,-0.000041
yellow,15.960722,-2.113058,0.0,0.065960,0.066180,-0.000150
blue,20.911750,2.046761,0.0,0.063042,0.060267,0.000584
yellow,20.966958,-2.111865,0.0,0.062337,0.060584,-0.000386
blue,25.890742,2.031291,0.0,0.068112,0.062091,0.001238
yellow,25.960130,-2.122292,0.0,0.075080,0.069261,-0.003004
blue,30.870134,2.015055,0.0,0.066132,0.068913,-0.001879
yellow,30.969104,-2.131542,0.0,0.076760,0.085686,-0.006706
blue,35.863277,2.012748,0.0,0.065267,0.065192,0.000015
yellow,35.976078,-2.144377,0.0,0.082205,0.095668,-0.006760
blue,40.853256,2.011793,0.0,0.065234,0.065180,0.000011
yellow,40.995857,-2.139069,0.0,0.065256,0.065184,-0.000015
blue,45.832488,1.883345,0.0,0.069797,0.069711,0.000016
yellow,46.013055,-1.979344,0.0,0.060172,0.060017,-0.000031
blue,49.067632,1.606827,0.0,0.065265,0.065095,0.000029
yellow,48.621084,-1.794385,0.0,0.065585,0.065035,-0.000105
blue,51.284323,1.009103,0.0,0.059972,0.059883,0.000009
yellow,50.107646,-1.959743,0.0,0.064712,0.064601,-0.000026
yellow,52.785169,-3.276576,0.0,0.060079,0.060019,-0.000020
blue,53.339241,-0.002333,0.0,0.059884,0.059791,-0.000000
yellow,51.522683,-2.461006,0.0,0.059687,0.059687,0.000000
yellow,53.843570,-4.344568,0.0,0.060129,0.060055,-0.000061
blue,55.143830,-1.405029,0.0,0.065147,0.065050,-0.000013
yellow,54.653787,-5.608571,0.0,0.060370,0.060215,-0.000176
yellow,55.454049,-8.485856,0.0,0.060062,0.060082,-0.000087
yellow,55.202538,-7.001709,0.0,0.060170,0.060101,-0.000187
