tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
big_orange,5.708190,-2.066346,0.0,0.096734,0.096734,0.000000
big_orange,6.200737,-2.068654,0.0,0.096199,0.095965,-0.000098
big_orange,6.184890,2.064104,0.0,0.096537,0.096280,0.000003
big_orange,5.697518,2.060205,0.0,0.095760,0.095760,0.000000
blue,1.008255,2.061489,0.0,0.096147,0.096147,0.000000
blue,10.952838,2.086241,0.0,0.094468,0.094454,0.000003
yellow,10.948352,-2.062357,0.0,0.093778,0.093755,-0.000005
blue,15.940981,2.111317,0.0,0.083792,0.083740,0.000010
yellow,15.919827,-2.044384,0.0,0.085969,0.085924,-0.000009
blue,20.933234,2.131331,0.0,0.066081,0.065909,0.000035
yellow,20.897037,-2.019027,0.0,0.066070,0.065897,-0.000034
blue,25.917504,2.151759,0.0,0.060959,0.060651,0.000074
yellow,25.872415,-1.965054,0.0,0.065021,0.051393,0.002144
blue,30.912736,2.171646,0.0,0.061299,0.061076,0.000047
yellow,30.856749,-1.979607,0.0,0.066186,0.066012,-0.000033
blue,35.890753,2.207984,0.0,0.066130,0.065572,0.000135
yellow,35.818995,-1.946667,0.0,0.066108,0.065542,-0.000127
blue,40.884896,2.249076,0.0,0.061286,0.061049,0.000054
yellow,40.791790,-1.902078,0.0,0.065983,0.065632,-0.000075
yellow,45.778015,-1.859751,0.0,0.066474,0.065914,-0.000118
blue,45.869896,2.297455,0.0,0.065974,0.065548,0.000100
blue,50.870484,2.362804,0.0,0.061392,0.060967,0.000109
yellow,50.763422,-1.823261,0.0,0.064522,0.051387,0.003670
blue,55.855198,2.432650,0.0,0.065793,0.065615,0.000046
yellow,55.722467,-1.719827,0.0,0.065859,0.065536,-0.000062
blue,60.856997,2.443939,0.0,0.061341,0.061006,0.000083
yellow,60.693433,-1.641149,0.0,0.060887,0.060748,-0.000025
yellow,65.183089,-1.348409,0.0,0.065522,0.065296,-0.000034
blue,65.076529,2.234124,0.0,0.060346,0.059889,0.000104
blue,66.583860,2.259261,0.0,0.060172,0.059987,0.000042
yellow,67.431934,-0.938172,0.0,0.069922,0.069769,-0.000016
yellow,69.563025,-0.093854,0.0,0.065013,0.064860,-0.000005
blue,69.343616,3.288068,0.0,0.060779,0.060652,0.000043
blue,68.045327,2.678911,0.0,0.062470,0.050920,-0.004200
blue,70.477959,4.341843,0.0,0.065392,0.052049,0.001212
yellow,71.485693,1.150602,0.0,0.059560,0.059372,0.000017
blue,71.386321,5.434782,0.0,0.060050,0.060003,0.000046
blue,72.310406,8.279290,0.0,0.054581,0.057920,0.012452
blue,72.027069,6.785738,0.0,0.060978,0.053534,0.006781
yellow,73.113863,2.757401,0.0,0.059758,0.059590,0.000045
blue,72.447456,9.700431,0.0,0.060566,0.060590,0.000074
yellow,74.354972,4.668713,0.0,0.059931,0.059858,0.000040
blue,72.200687,11.162088,0.0,0.060632,0.060763,0.000066
yellow,75.148410,6.819358,0.0,0.060170,0.060132,0.000060
yellow,75.434146,9.088420,0.0,0.060640,0.060638,0.000163
yellow,75.205401,11.364907,0.0,0.060554,0.060753,0.000227
yellow,74.479154,13.512000,0.0,0.060458,0.060833,0.000235
blue,71.670988,12.536852,0.0,0.060336,0.060401,0.000009
yellow,73.330757,15.509709,0.0,0.059722,0.055869,-0.006995
blue,70.843904,13.780841,0.0,0.051814,0.064940,-0.000505
yellow,71.711679,17.092531,0.0,0.063474,0.064124,-0.000061
blue,69.798094,14.830975,0.0,0.053706,0.067292,-0.004365
yellow,69.806216,18.345586,0.0,0.061392,0.061970,-0.000166
blue,68.563012,15.654957,0.0,0.062024,0.062044,-0.000047
blue,65.764248,16.515546,0.0,0.060710,0.060659,-0.000059
yellow,67.672615,19.152089,0.0,0.060784,0.061105,-0.000307
yellow,65.417525,19.482721,0.0,0.066184,0.066288,-0.000450
blue,67.191678,16.219853,0.0,0.060817,0.060794,-0.000021
blue,62.239035,16.440846,0.0,0.062635,0.062504,-0.000028
yellow,60.786473,19.390126,0.0,0.067508,0.057512,0.005716
blue,59.549852,16.332431,0.0,0.067771,0.053631,-0.004425
blue,58.035385,15.915042,0.0,0.070106,0.068691,0.000060
blue,56.476371,15.074407,0.0,0.073039,0.057287,-0.001806
yellow,58.301290,19.061169,0.0,0.062748,0.062585,-0.000034
yellow,56.108106,18.311097,0.0,0.067050,0.061655,0.007989
yellow,54.538809,17.546521,0.0,0.064103,0.063833,0.000013
blue,54.338727,14.314871,0.0,0.072009,0.071301,0.000307
yellow,53.084372,17.060461,0.0,0.070891,0.070095,0.000089
