tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,-1.201574,5.102174,0.0,0.020637,0.017257,-0.003068
blue,-1.131524,1.867291,0.0,0.019233,0.016628,-0.002563
yellow,3.292391,4.596725,0.0,0.018992,0.014661,0.000215
yellow,3.302776,1.882820,0.0,0.020121,0.016826,0.002757
yellow,4.397733,6.417516,0.0,0.019735,0.014862,-0.000447
blue,-0.150407,8.297409,0.0,0.020297,0.017896,-0.003386
blue,1.366284,10.457301,0.0,0.018722,0.021359,-0.003952
big_orange,6.560866,7.260057,0.0,0.018899,0.016622,-0.002524
big_orange,6.960657,7.220464,0.0,0.020117,0.016735,-0.002697
blue,3.778397,11.285892,0.0,0.015758,0.022220,-0.001418
big_orange,6.494402,11.819249,0.0,0.019139,0.024456,0.004500
big_orange,6.921116,11.849538,0.0,0.020668,0.024617,0.005377
yellow,9.671765,7.318623,0.0,0.036670,0.020393,-0.004041
blue,9.820046,12.051754,0.0,0.042475,0.031863,0.012680
yellow,12.521226,7.383148,0.0,0.015033,0.020345,-0.000600
blue,12.483854,12.234765,0.0,0.015553,0.020909,0.001480
blue,16.433094,12.175932,0.0,0.015161,0.020755,0.000727
yellow,16.487108,7.218976,0.0,0.015601,0.020684,-0.001604
yellow,20.045623,7.553494,0.0,0.016061,0.021208,-0.002082
blue,20.077035,12.592673,0.0,0.014941,0.020261,0.000200
yellow,23.629475,8.781233,0.0,0.015307,0.019204,-0.001483
blue,23.642601,13.567706,0.0,0.015303,0.021782,0.000280
yellow,26.946490,9.644127,0.0,0.015555,0.018551,-0.001773
blue,26.198003,14.751446,0.0,0.015826,0.023998,0.000209
yellow,29.485840,10.664743,0.0,0.015233,0.017606,-0.001509
blue,28.944746,15.848905,0.0,0.016509,0.026726,-0.000154
yellow,31.522163,10.167125,0.0,0.015131,0.019261,-0.001250
blue,31.594083,15.376617,0.0,0.016346,0.023774,0.001914
blue,33.997370,14.347133,0.0,0.017851,0.021214,0.003472
yellow,33.209000,8.095857,0.0,0.016595,0.016716,0.002071
blue,36.024233,12.662329,0.0,0.021784,0.017917,0.003563
blue,37.476131,10.724678,0.0,0.022973,0.017411,0.003226
blue,38.093906,7.853472,0.0,0.022160,0.015482,0.000760
yellow,33.394852,5.076636,0.0,0.019481,0.015105,0.001155
blue,37.681154,4.319942,0.0,0.020194,0.015442,-0.001488
yellow,32.571126,2.402664,0.0,0.019849,0.014851,0.000242
blue,36.698957,1.248670,0.0,0.018870,0.016621,-0.002519
yellow,31.829690,0.465307,0.0,0.019215,0.014858,-0.000773
blue,35.846839,-0.992980,0.0,0.018670,0.017079,-0.002724
yellow,30.416888,-1.057359,0.0,0.020281,0.015555,-0.001621
blue,33.985920,-4.221165,0.0,0.017648,0.018517,-0.002936
yellow,28.818971,-2.502389,0.0,0.018334,0.016909,-0.002583
blue,31.048464,-6.331075,0.0,0.015851,0.019116,-0.002015
yellow,26.172699,-3.919015,0.0,0.018651,0.018048,-0.003119
blue,27.923183,-7.818802,0.0,0.015058,0.018118,-0.001333
yellow,24.044546,-5.064641,0.0,0.019016,0.018322,-0.003314
blue,25.079866,-9.589900,0.0,0.015117,0.018826,-0.001302
yellow,21.412272,-6.243184,0.0,0.018300,0.019358,-0.003389
blue,21.868506,-11.258108,0.0,0.014910,0.018863,-0.001005
yellow,18.576393,-7.769272,0.0,0.018326,0.019440,-0.003417
blue,18.196486,-13.067916,0.0,0.014766,0.018701,-0.000786
yellow,14.808224,-9.648800,0.0,0.018643,0.019658,-0.003590
blue,14.313005,-15.091961,0.0,0.014773,0.018611,-0.000840
blue,11.071624,-17.192223,0.0,0.015061,0.019369,-0.001033
yellow,11.125670,-11.862116,0.0,0.018247,0.018942,-0.003266
yellow,9.193516,-13.231007,0.0,0.019018,0.017518,-0.002992
yellow,6.961613,-13.828716,0.0,0.016347,0.019845,-0.002409
blue,7.493243,-18.287591,0.0,0.014904,0.019794,0.000548
blue,4.597838,-17.830035,0.0,0.016562,0.019479,0.002538
yellow,4.695407,-12.866517,0.0,0.015255,0.017178,0.001511
blue,2.327243,-16.172316,0.0,0.019699,0.017297,0.002991
blue,0.562549,-14.571309,0.0,0.021563,0.016666,0.002647
yellow,2.788708,-10.272951,0.0,0.016015,0.017929,0.002054
blue,-1.367837,-12.423617,0.0,0.020082,0.017217,0.002989
yellow,2.473502,-7.001334,0.0,0.020204,0.015080,0.000827
blue,-1.927420,-8.897700,0.0,0.019847,0.015184,-0.001185
blue,-2.280373,-6.494717,0.0,0.020965,0.015690,-0.001666
yellow,2.600679,-3.870014,0.0,0.018982,0.015057,0.001207
blue,-1.978041,-3.833768,0.0,0.020864,0.016309,-0.002360
blue,-1.504634,-1.288150,0.0,0.020730,0.015629,-0.001497
yellow,2.979490,-1.363334,0.0,0.019517,0.014923,0.000784
