tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,12.592920,3.157127,0.0,0.015807,0.018089,0.001949
blue,8.838387,3.049610,0.0,0.033696,0.021585,0.006061
blue,6.022519,2.774106,0.0,0.018392,0.017649,0.002907
yellow,12.791360,-1.873507,0.0,0.017028,0.023997,-0.002773
yellow,8.917684,-1.786717,0.0,0.035741,0.025951,-0.009082
yellow,6.039212,-1.848044,0.0,0.018757,0.022683,-0.004135
big_orange,3.001244,-1.914783,0.0,0.036810,0.019403,0.001407
big_orange,3.372379,-1.908920,0.0,0.040403,0.020486,0.001629
big_orange,2.960461,2.686873,0.0,0.045155,0.045306,0.017663
big_orange,3.340900,2.700996,0.0,0.050266,0.047303,0.019317
blue,16.139765,3.603013,0.0,0.032827,0.022134,0.006580
blue,0.214167,2.176381,0.0,0.022614,0.032425,0.006942
yellow,16.297099,-1.394968,0.0,0.034833,0.025731,-0.008923
yellow,11.070732,-18.860822,0.0,0.037567,0.020450,0.003681
yellow,14.873650,-16.798274,0.0,0.039602,0.089235,-0.009158
yellow,17.786907,-15.277296,0.0,0.044326,0.084529,-0.017208
yellow,0.772066,-2.718531,0.0,0.022563,0.015601,-0.000853
blue,19.807279,4.620220,0.0,0.084109,0.044828,0.017794
yellow,20.376083,-14.006385,0.0,0.050855,0.078021,-0.022721
yellow,19.787125,-0.150947,0.0,0.088128,0.039518,-0.010047
blue,21.369775,-18.421200,0.0,0.047986,0.079781,-0.020473
yellow,22.515534,-12.915809,0.0,0.057335,0.071553,-0.025506
blue,24.176184,-16.645358,0.0,0.055194,0.073713,-0.024817
blue,22.642625,6.024988,0.0,0.083209,0.045730,0.018742
yellow,25.124202,-11.366667,0.0,0.065875,0.063039,-0.026453
yellow,23.499342,0.750098,0.0,0.090806,0.038150,-0.003114
blue,27.371670,-15.157386,0.0,0.062457,0.065262,-0.025857
yellow,26.687452,-10.003396,0.0,0.070702,0.056924,-0.024917
blue,25.295604,7.218893,0.0,0.082057,0.045916,0.018724
yellow,25.778269,1.801434,0.0,0.089784,0.037993,0.001286
yellow,28.052564,-8.305584,0.0,0.076471,0.051680,-0.022972
yellow,28.842356,-6.380423,0.0,0.081064,0.046934,-0.019654
yellow,27.843262,1.472820,0.0,0.090171,0.037963,0.000117
blue,30.427577,-13.151583,0.0,0.070265,0.057413,-0.025067
blue,27.736622,6.635187,0.0,0.085499,0.042937,0.015373
yellow,29.709529,-3.744172,0.0,0.085751,0.041879,-0.013674
yellow,29.370638,-0.798125,0.0,0.088725,0.038798,-0.006514
blue,32.172092,-10.228977,0.0,0.039129,0.089807,-0.007758
blue,30.324690,5.600836,0.0,0.088465,0.040472,0.011249
blue,33.026357,-7.970073,0.0,0.041892,0.087052,-0.013881
blue,34.056274,-4.938863,0.0,0.032940,0.047170,-0.013329
blue,32.460960,3.427852,0.0,0.090190,0.038769,0.006480
blue,34.457411,-1.400003,0.0,0.027126,0.020854,-0.005697
blue,33.813213,1.501818,0.0,0.023288,0.016119,0.001694
blue,14.528251,-22.296291,0.0,0.020395,0.031486,0.005213
blue,18.135021,-20.441043,0.0,0.016073,0.024746,-0.000684
yellow,7.957293,-20.848074,0.0,0.026634,0.016511,0.000509
blue,10.624495,-24.308471,0.0,0.017378,0.026079,0.002809
yellow,-0.403051,-7.347183,0.0,0.023416,0.021091,0.005364
blue,-4.829065,-7.369565,0.0,0.016949,0.020446,-0.002857
blue,7.416599,-26.436477,0.0,0.015499,0.022250,-0.000748
yellow,-0.621333,-10.418521,0.0,0.027245,0.044968,0.009623
yellow,-1.003625,-13.037816,0.0,0.019984,0.023210,0.004840
yellow,-1.141126,-16.183598,0.0,0.018291,0.033322,0.000567
yellow,3.347739,-23.005234,0.0,0.026542,0.016655,-0.001264
yellow,5.520217,-22.427474,0.0,0.017715,0.016224,-0.002145
blue,-5.132880,-10.458876,0.0,0.024393,0.043041,-0.007299
blue,-5.558585,-13.003571,0.0,0.020501,0.023341,-0.005099
blue,0.970046,-26.980101,0.0,0.016514,0.021982,0.002472
blue,3.824949,-27.467934,0.0,0.026122,0.029537,0.008500
yellow,-0.409045,-4.620183,0.0,0.028635,0.040141,0.010755
yellow,-0.880006,-19.361420,0.0,0.014802,0.018157,0.001016
yellow,1.088491,-22.031971,0.0,0.015908,0.019587,-0.002057
blue,-5.952003,-15.598153,0.0,0.021609,0.015494,-0.001126
blue,-5.546298,-18.017593,0.0,0.031253,0.024760,-0.008145
blue,-5.138831,-21.528526,0.0,0.026425,0.016758,0.001618
blue,-3.094073,-23.705854,0.0,0.036849,0.019460,-0.001645
blue,-1.339334,-25.342481,0.0,0.024356,0.017141,0.002847
blue,-4.903160,-4.155316,0.0,0.022732,0.042880,-0.005265
blue,-2.276275,1.310723,0.0,0.016371,0.026185,-0.000235
blue,-3.785213,-0.913495,0.0,0.017614,0.017304,-0.002575
