tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,8.949389,3.030044,0.0,0.020000,0.020000,0.000000
yellow,8.863667,-1.728485,0.0,0.020000,0.020000,0.000000
yellow,6.085605,-1.836044,0.0,0.020000,0.020000,0.000000
big_orange,3.094784,-1.967184,0.0,0.020000,0.020000,0.000000
big_orange,3.033238,2.728931,0.0,0.020000,0.020000,0.000000
big_orange,3.386312,2.723872,0.0,0.020000,0.020000,0.000000
blue,11.876664,3.305082,0.0,0.020000,0.020000,0.000000
yellow,12.906251,-1.927196,0.0,0.020000,0.020000,0.000000
blue,6.169128,2.916694,0.0,0.020000,0.020000,0.000000
yellow,0.867306,-2.754098,0.0,0.020000,0.020000,0.000000
big_orange,3.405735,-1.891143,0.0,0.020000,0.020000,0.000000
blue,0.401018,2.215400,0.0,0.020000,0.020000,0.000000
blue,15.753610,3.336108,0.0,0.020000,0.020000,0.000000
yellow,15.953448,-1.606076,0.0,0.020000,0.020000,0.000000
blue,20.010316,4.311822,0.0,0.020000,0.020000,0.000000
yellow,20.091397,-0.467926,0.0,0.020000,0.020000,0.000000
blue,22.493129,5.486030,0.0,0.020000,0.020000,0.000000
yellow,23.095964,0.100168,0.0,0.020000,0.020000,0.000000
yellow,25.901799,1.543938,0.0,0.020000,0.020000,0.000000
blue,25.303511,6.766445,0.0,0.020000,0.020000,0.000000
blue,27.953051,6.324225,0.0,0.020000,0.020000,0.000000
yellow,27.936223,1.091510,0.0,0.020000,0.020000,0.000000
yellow,29.861612,-4.025293,0.0,0.020000,0.020000,0.000000
yellow,29.647178,-1.003067,0.0,0.020000,0.020000,0.000000
blue,30.362445,5.273823,0.0,0.020000,0.020000,0.000000
yellow,29.111178,-6.669067,0.0,0.020000,0.020000,0.000000
blue,32.401033,3.606684,0.0,0.020000,0.020000,0.000000
yellow,25.501118,-11.695013,0.0,0.020000,0.020000,0.000000
yellow,27.054363,-10.217283,0.0,0.020000,0.020000,0.000000
yellow,28.434628,-8.664674,0.0,0.020000,0.020000,0.000000
blue,33.869780,1.712973,0.0,0.020000,0.020000,0.000000
blue,34.535872,-1.180593,0.0,0.020000,0.020000,0.000000
blue,34.194178,-4.704036,0.0,0.020000,0.020000,0.000000
blue,33.286780,-7.761723,0.0,0.020000,0.020000,0.000000
blue,32.467766,-10.050118,0.0,0.020000,0.020000,0.000000
blue,30.686804,-13.363948,0.0,0.020000,0.020000,0.000000
blue,27.822084,-15.458432,0.0,0.020000,0.020000,0.000000
yellow,22.906596,-13.147030,0.0,0.020000,0.020000,0.000000
blue,24.683719,-17.031379,0.0,0.020000,0.020000,0.000000
yellow,20.803471,-14.311126,0.0,0.020000,0.020000,0.000000
blue,21.845591,-18.884867,0.0,0.020000,0.020000,0.000000
yellow,18.212343,-15.528364,0.0,0.020000,0.020000,0.000000
blue,18.649586,-20.531023,0.0,0.020000,0.020000,0.000000
yellow,15.408605,-17.049044,0.0,0.020000,0.020000,0.000000
blue,14.971455,-22.323381,0.0,0.020000,0.020000,0.000000
yellow,11.659792,-18.858451,0.0,0.020000,0.020000,0.000000
blue,10.937288,-24.281190,0.0,0.020000,0.020000,0.000000
yellow,8.437959,-20.670989,0.0,0.020000,0.020000,0.000000
yellow,5.966170,-22.091111,0.0,0.020000,0.020000,0.000000
blue,7.541546,-26.194067,0.0,0.020000,0.020000,0.000000
yellow,3.731465,-22.533698,0.0,0.020000,0.020000,0.000000
blue,3.829941,-26.971573,0.0,0.020000,0.020000,0.000000
yellow,1.556850,-21.306835,0.0,0.020000,0.020000,0.000000
blue,1.003213,-26.244535,0.0,0.020000,0.020000,0.000000
yellow,-0.103703,-18.493159,0.0,0.020000,0.020000,0.000000
blue,-1.121727,-24.370261,0.0,0.020000,0.020000,0.000000
yellow,-0.072111,-15.278704,0.0,0.020000,0.020000,0.000000
blue,-2.757349,-22.582033,0.0,0.020000,0.020000,0.000000
yellow,0.359346,-12.136237,0.0,0.020000,0.020000,0.000000
blue,-4.460603,-20.229339,0.0,0.020000,0.020000,0.000000
blue,-4.640586,-16.657277,0.0,0.020000,0.020000,0.000000
blue,-4.748908,-14.243359,0.0,0.020000,0.020000,0.000000
blue,-4.153060,-11.675696,0.0,0.020000,0.020000,0.000000
yellow,1.023577,-9.575965,0.0,0.020000,0.020000,0.000000
blue,-3.453927,-9.155410,0.0,0.020000,0.020000,0.000000
blue,-2.809109,-6.153260,0.0,0.020000,0.020000,0.000000
yellow,1.615755,-6.533752,0.0,0.020000,0.020000,0.000000
blue,-2.549434,-2.933783,0.0,0.020000,0.020000,0.000000
blue,-1.126391,0.219806,0.0,0.020000,0.020000,0.000000
big_orange,5.555422,-1.496814,0.0,0.020000,0.020000,0.000000
big_orange,5.917663,-1.527131,0.0,0.020000,0.020000,0.000000
yellow,11.941504,-1.546475,0.0,0.020000,0.020000,0.000000
big_orange,5.869598,3.073869,0.0,0.020000,0.020000,0.000000
yellow,15.665067,-1.906416,0.0,0.020000,0.020000,0.000000
yellow,19.477796,-1.195457,0.0,0.020000,0.020000,0.000000
blue,19.400343,3.840271,0.0,0.020000,0.020000,0.000000
