tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
big_orange,12.951135,1.845849,0.0,0.015705,0.018823,0.001899
orange,5.429995,-1.623128,0.0,0.017163,0.019514,-0.002898
blue,4.638947,-5.172805,0.0,0.015462,0.019253,-0.001654
blue,7.347970,12.216838,0.0,0.039080,0.089877,-0.007606
blue,6.758779,9.261730,0.0,0.040621,0.088330,-0.011564
blue,7.368631,6.371113,0.0,0.038502,0.082169,-0.011510
blue,9.013956,3.908415,0.0,0.020474,0.040508,-0.001413
blue,11.532955,2.287530,0.0,0.015278,0.020367,-0.001184
yellow,6.914760,1.775501,0.0,0.021488,0.025102,-0.005821
yellow,4.601074,5.221876,0.0,0.052743,0.071507,-0.023677
yellow,14.449754,-1.563289,0.0,0.020191,0.017297,-0.003052
yellow,11.510564,-2.152335,0.0,0.019547,0.015224,-0.001321
yellow,9.048721,-3.819302,0.0,0.019786,0.014832,-0.000206
yellow,7.405548,-6.314716,0.0,0.019087,0.015731,0.001917
yellow,6.839232,-9.219409,0.0,0.016432,0.018184,0.002325
yellow,7.444127,-12.184870,0.0,0.015518,0.021558,-0.001202
orange,3.429768,-1.618940,0.0,0.023998,0.042297,-0.007023
orange,3.415639,1.650624,0.0,0.031836,0.044276,-0.012610
orange,5.416980,1.658829,0.0,0.022169,0.040448,-0.005278
big_orange,12.929756,-1.714657,0.0,0.015611,0.018182,-0.001816
blue,3.828981,-9.256345,0.0,0.018105,0.017938,-0.002929
blue,4.679287,-13.291512,0.0,0.023942,0.017894,-0.003594
blue,6.999075,-16.744455,0.0,0.021924,0.015490,0.000997
blue,10.439854,-19.052633,0.0,0.022164,0.016437,0.002372
blue,14.534741,-19.818214,0.0,0.019163,0.018489,0.003411
blue,18.564223,-18.963971,0.0,0.038838,0.086811,-0.006320
blue,17.332424,2.294092,0.0,0.015773,0.020475,0.001787
blue,19.780936,3.932203,0.0,0.016614,0.026786,-0.000547
blue,19.765781,14.727772,0.0,0.038015,0.090925,-0.001622
blue,17.282794,16.362361,0.0,0.038371,0.089504,0.003764
blue,14.363424,16.970825,0.0,0.039016,0.089936,0.007390
blue,11.425968,16.339707,0.0,0.038034,0.090916,-0.001892
blue,9.003084,14.703412,0.0,0.040009,0.088937,-0.010205
yellow,14.502198,-16.824870,0.0,0.019320,0.016207,-0.002291
yellow,3.772498,9.285844,0.0,0.049242,0.079708,-0.021696
yellow,4.551663,13.328563,0.0,0.042876,0.086079,-0.015371
yellow,6.835840,16.774828,0.0,0.017099,0.014458,0.000738
yellow,10.263735,19.112535,0.0,0.038353,0.090597,-0.004517
yellow,14.341626,19.944060,0.0,0.038694,0.090259,0.006172
yellow,18.421339,19.161054,0.0,0.038858,0.089326,0.006414
yellow,17.460871,-16.278467,0.0,0.038405,0.089417,-0.004090
yellow,19.908275,-14.570668,0.0,0.041388,0.086350,-0.012621
yellow,19.863894,-3.791102,0.0,0.026835,0.028488,-0.008722
yellow,17.338475,-2.135861,0.0,0.015632,0.019456,-0.001753
yellow,9.132061,-14.642121,0.0,0.015039,0.018516,-0.001239
yellow,11.537063,-16.232353,0.0,0.017785,0.017859,-0.002806
big_orange,15.935854,-1.705256,0.0,0.027360,0.019091,-0.004425
blue,14.408215,1.707495,0.0,0.020066,0.018088,0.003442
blue,6.922946,-1.728180,0.0,0.014789,0.019634,0.000074
big_orange,15.887765,1.858212,0.0,0.027501,0.019825,0.005009
blue,21.448348,6.426676,0.0,0.024662,0.049736,0.005333
blue,21.427672,12.277128,0.0,0.038476,0.090461,0.005173
yellow,21.577651,-12.108401,0.0,0.038612,0.090324,-0.005818
yellow,21.518977,-6.235338,0.0,0.025647,0.051943,-0.005947
blue,22.050749,-16.696833,0.0,0.038619,0.090328,-0.005852
blue,21.985426,-1.650394,0.0,0.018018,0.018263,-0.003002
blue,22.033036,9.362903,0.0,0.040155,0.088776,0.010546
yellow,21.848727,16.830699,0.0,0.038551,0.090394,0.005536
yellow,21.985023,1.841304,0.0,0.018060,0.017709,0.002840
yellow,22.095877,-9.154223,0.0,0.040228,0.088701,-0.010712
orange,23.465933,-1.514060,0.0,0.024121,0.018477,-0.004034
blue,24.317945,-13.224095,0.0,0.037970,0.090952,-0.000448
blue,24.234116,-5.068639,0.0,0.019623,0.038050,0.000054
yellow,24.202050,13.435638,0.0,0.042420,0.086524,0.014707
yellow,24.224408,5.294628,0.0,0.035399,0.041749,0.013974
blue,25.135477,-9.179900,0.0,0.038439,0.090455,-0.004980
yellow,25.080603,9.418543,0.0,0.038504,0.090384,0.005307
orange,25.440781,-1.510615,0.0,0.016484,0.018084,-0.002336
orange,25.436989,1.749718,0.0,0.016447,0.017577,0.002228
orange,23.430477,1.732421,0.0,0.024031,0.018038,0.003706
orange,27.465617,-1.516313,0.0,0.023737,0.018512,-0.004050
orange,27.382247,1.762870,0.0,0.023719,0.017935,0.003631
orange,29.504038,1.782805,0.0,0.014572,0.018417,0.000432
