tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,6.621940,3.184605,0.0,0.016318,0.022386,0.002204
blue,3.003830,2.766561,0.0,0.015616,0.022090,0.000992
yellow,10.204142,-0.603208,0.0,0.015733,0.017946,-0.001875
blue,10.121585,4.211780,0.0,0.015702,0.023105,0.000777
yellow,13.498325,0.288474,0.0,0.026278,0.016984,-0.002189
blue,12.593147,5.329894,0.0,0.024266,0.030895,0.007905
yellow,16.049835,1.334084,0.0,0.049053,0.022906,0.000929
blue,15.423072,6.559420,0.0,0.047143,0.047570,0.015444
yellow,18.049379,0.746767,0.0,0.016562,0.020932,-0.002577
blue,18.133700,5.977426,0.0,0.015248,0.021182,0.000569
yellow,19.785323,-1.354676,0.0,0.017754,0.031462,0.000204
blue,20.484134,4.911867,0.0,0.017176,0.017738,0.002560
blue,22.553512,3.242997,0.0,0.016116,0.016192,0.001749
blue,23.968221,1.340442,0.0,0.017305,0.014725,0.001045
yellow,19.963249,-4.325457,0.0,0.022172,0.016566,0.002510
blue,24.639982,-1.548319,0.0,0.018275,0.014858,-0.001058
blue,24.300790,-5.074762,0.0,0.018309,0.014828,-0.001015
yellow,19.158394,-6.946562,0.0,0.023167,0.015630,0.000290
blue,23.303174,-8.104144,0.0,0.016301,0.016657,-0.001951
yellow,18.410078,-8.922138,0.0,0.018283,0.015927,-0.002040
blue,22.446205,-10.344538,0.0,0.016530,0.018035,-0.002347
yellow,17.016083,-10.414850,0.0,0.018574,0.015412,-0.001651
blue,20.535946,-13.604733,0.0,0.017600,0.020943,-0.003301
yellow,15.419631,-11.860727,0.0,0.019618,0.015333,-0.001452
blue,17.662949,-15.667495,0.0,0.016840,0.018531,-0.002583
blue,14.498104,-17.179202,0.0,0.015192,0.017626,-0.001471
yellow,12.764150,-13.328120,0.0,0.019004,0.017912,-0.003152
yellow,10.640618,-14.418590,0.0,0.021099,0.018226,-0.003669
blue,11.622740,-19.024380,0.0,0.014644,0.018540,-0.000573
yellow,7.970425,-15.615413,0.0,0.019349,0.020243,-0.003995
blue,8.401071,-20.677733,0.0,0.014823,0.018847,-0.000324
yellow,5.214015,-17.142468,0.0,0.018881,0.018977,-0.003492
blue,4.830047,-22.404720,0.0,0.015057,0.020685,-0.000339
yellow,1.404653,-19.034849,0.0,0.016685,0.018181,-0.002448
blue,0.901006,-24.506829,0.0,0.015566,0.021141,-0.001425
yellow,-1.791273,-21.033239,0.0,0.017612,0.016373,-0.002200
blue,-2.359343,-26.612434,0.0,0.015878,0.023455,-0.001089
yellow,-4.211321,-22.601981,0.0,0.017441,0.015629,-0.001777
yellow,-6.421745,-23.255975,0.0,0.015920,0.016708,-0.001811
blue,-5.892062,-27.664212,0.0,0.016009,0.024076,0.001065
blue,-8.765169,-27.232524,0.0,0.017411,0.022473,0.003232
yellow,-8.747618,-22.264860,0.0,0.014474,0.016875,0.000798
blue,-11.024150,-25.584541,0.0,0.019535,0.019608,0.003871
yellow,-10.672421,-19.641873,0.0,0.014642,0.017263,0.000954
blue,-12.848116,-24.033904,0.0,0.024901,0.017680,0.003338
blue,-14.849057,-21.866051,0.0,0.027155,0.017692,0.002981
yellow,-10.958682,-16.455819,0.0,0.018343,0.016461,0.002361
blue,-15.388858,-18.296710,0.0,0.021600,0.015474,0.001069
blue,-15.737814,-15.888355,0.0,0.022435,0.017274,-0.003135
blue,-15.402455,-13.317075,0.0,0.021125,0.015395,-0.001125
yellow,-10.848091,-13.311535,0.0,0.019323,0.014962,0.000947
blue,-14.980835,-10.720852,0.0,0.019139,0.015000,-0.001074
yellow,-10.445458,-10.719695,0.0,0.021105,0.015800,0.001785
blue,-14.596971,-7.687540,0.0,0.017393,0.017627,-0.002611
yellow,-10.154863,-7.614480,0.0,0.022224,0.018068,0.003693
blue,-14.659026,-4.512209,0.0,0.018353,0.015142,-0.001316
yellow,-10.152583,-4.889955,0.0,0.022423,0.016476,0.002384
yellow,-9.060839,-3.050615,0.0,0.021683,0.015859,-0.001744
blue,-13.632169,-1.166719,0.0,0.017377,0.017479,-0.002551
big_orange,-6.533729,-2.133274,0.0,0.021792,0.021107,-0.004883
blue,-12.132942,0.993604,0.0,0.016852,0.018533,-0.002587
blue,-9.747566,1.848798,0.0,0.015451,0.020079,0.001531
big_orange,-6.875607,-2.170139,0.0,0.025907,0.018512,-0.004028
big_orange,-7.094892,2.437067,0.0,0.015723,0.018128,0.001894
yellow,-3.882690,-2.011629,0.0,0.014857,0.019833,0.000283
big_orange,-6.672412,2.449923,0.0,0.016840,0.017868,0.002462
blue,-3.922174,2.612935,0.0,0.017452,0.018845,0.002927
blue,-1.067941,2.867296,0.0,0.016798,0.022886,0.002545
yellow,-1.040364,-1.998086,0.0,0.014759,0.018814,-0.000718
yellow,2.911283,-2.212131,0.0,0.017697,0.018781,-0.003019
yellow,6.490767,-1.883105,0.0,0.016104,0.019484,-0.002217
