tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
blue,6.047970,2.779863,0.0,0.015834,0.021106,0.001830
yellow,0.776843,-2.691274,0.0,0.020601,0.015101,-0.000647
big_orange,2.985467,-1.892506,0.0,0.015647,0.017539,-0.001619
big_orange,2.957574,2.695084,0.0,0.015680,0.023038,0.000757
big_orange,3.363281,-1.897831,0.0,0.015552,0.017727,-0.001750
big_orange,3.354506,2.715094,0.0,0.015975,0.023127,0.001483
blue,8.846365,3.049305,0.0,0.016459,0.020994,0.002491
blue,12.791484,2.907505,0.0,0.022538,0.020456,0.004956
yellow,16.236249,-1.611785,0.0,0.054946,0.029362,-0.009941
blue,16.411698,3.362508,0.0,0.054331,0.031632,0.012228
yellow,19.993708,-0.430061,0.0,0.017677,0.018983,-0.003051
blue,20.000537,4.399535,0.0,0.014879,0.019415,-0.000727
yellow,23.346849,0.473302,0.0,0.016962,0.020029,-0.002695
blue,22.481323,5.515264,0.0,0.015272,0.021472,0.000494
yellow,25.832616,1.520823,0.0,0.015590,0.018914,-0.001797
blue,25.287860,6.769600,0.0,0.015893,0.024176,0.000440
yellow,27.899433,1.021845,0.0,0.014919,0.020206,-0.000073
blue,27.946973,6.251114,0.0,0.022366,0.022280,0.005542
yellow,29.592429,-1.090394,0.0,0.017730,0.017033,0.002505
blue,30.376973,5.186732,0.0,0.019803,0.018718,0.003656
blue,32.394304,3.494315,0.0,0.019081,0.017784,0.003117
blue,33.795357,1.642568,0.0,0.024784,0.016018,-0.000281
yellow,29.780854,-4.053018,0.0,0.018892,0.014793,0.000766
blue,34.476104,-1.282892,0.0,0.023592,0.017622,-0.003385
blue,34.058029,-4.835382,0.0,0.020860,0.015626,-0.001598
yellow,28.962199,-6.672939,0.0,0.020174,0.015422,0.001468
blue,33.064188,-7.867812,0.0,0.018410,0.017935,-0.003014
blue,32.215998,-10.179553,0.0,0.018941,0.018435,-0.003333
yellow,28.189560,-8.678707,0.0,0.018947,0.014665,0.000341
yellow,26.784584,-10.193738,0.0,0.020441,0.014975,0.000123
blue,30.299627,-13.425568,0.0,0.017085,0.023949,-0.002852
yellow,25.148002,-11.659184,0.0,0.020408,0.015946,-0.002046
blue,27.392477,-15.491431,0.0,0.015302,0.021855,0.000126
yellow,22.525051,-13.098607,0.0,0.017600,0.018501,-0.002914
blue,24.268008,-16.966229,0.0,0.014773,0.019147,-0.000582
yellow,20.399048,-14.200892,0.0,0.017186,0.017829,-0.002587
blue,21.380449,-18.774240,0.0,0.015735,0.022581,0.001221
yellow,17.805133,-15.404624,0.0,0.019078,0.016532,-0.002491
blue,18.177947,-20.398505,0.0,0.015769,0.021992,-0.001516
yellow,14.913175,-16.894437,0.0,0.020744,0.015688,-0.001715
blue,14.574852,-22.131198,0.0,0.015683,0.023136,-0.000674
yellow,11.143909,-18.803278,0.0,0.016685,0.016945,-0.002168
yellow,7.896831,-20.777352,0.0,0.021668,0.015382,-0.000812
blue,10.626995,-24.256818,0.0,0.015649,0.023294,-0.000154
blue,7.371669,-26.360195,0.0,0.016357,0.024836,0.001545
yellow,5.532220,-22.369053,0.0,0.020742,0.015424,-0.001324
yellow,3.306205,-22.997020,0.0,0.015091,0.018359,-0.001322
blue,3.842238,-27.463728,0.0,0.015360,0.021964,0.000339
blue,1.010801,-27.012226,0.0,0.020259,0.020225,0.004300
yellow,1.069542,-22.016098,0.0,0.015290,0.020215,-0.001235
blue,-1.299456,-25.341416,0.0,0.021637,0.016458,0.002457
yellow,-0.896729,-19.423291,0.0,0.016600,0.015319,0.001490
blue,-3.139135,-23.736172,0.0,0.020318,0.016228,0.002311
blue,-5.162148,-21.535837,0.0,0.030060,0.018460,-0.003320
yellow,-1.155945,-16.211849,0.0,0.017437,0.017486,0.002581
blue,-5.618267,-18.058805,0.0,0.022324,0.015519,0.000750
blue,-5.940460,-15.607312,0.0,0.022372,0.015752,-0.000803
yellow,-1.029360,-13.062136,0.0,0.019426,0.018143,0.003344
blue,-5.567068,-13.040929,0.0,0.019952,0.014932,-0.000501
blue,-5.112242,-10.476242,0.0,0.018705,0.015151,-0.001097
yellow,-0.637656,-10.458062,0.0,0.021762,0.015823,0.001377
blue,-4.815361,-7.406695,0.0,0.018890,0.015194,-0.001393
yellow,-0.356323,-7.322453,0.0,0.021132,0.015691,0.001632
blue,-4.874866,-4.229130,0.0,0.019522,0.015989,-0.002125
yellow,-0.404896,-4.598642,0.0,0.020468,0.015669,0.001733
blue,-3.797863,-0.874210,0.0,0.018743,0.018009,-0.003129
blue,-2.308942,1.293499,0.0,0.016873,0.027018,-0.001592
blue,0.103241,2.124618,0.0,0.015776,0.023124,-0.001010
yellow,5.955675,-1.847591,0.0,0.015528,0.019363,-0.001710
yellow,8.868417,-1.845262,0.0,0.016435,0.019939,-0.002476
yellow,12.762374,-1.989865,0.0,0.021932,0.021063,-0.005034
