tag,x,y,direction,x_variance,y_variance,xy_covariance
car_start,0.0,0.0,0.0,0.0,0.0,0.0
big_orange,3.206787,-1.834000,0.0,0.025261,0.025261,0.000000
orange,3.129464,2.653322,0.0,0.026398,0.026398,0.000000
blue,6.043619,2.825562,0.0,0.025879,0.025879,0.000000
yellow,6.091483,-1.766067,0.0,0.025781,0.025781,0.000000
blue,-3.665187,-0.752786,0.0,0.027477,0.027477,0.000000
blue,-2.136281,1.354693,0.0,0.025757,0.025757,0.000000
blue,8.898410,3.042237,0.0,0.025598,0.025598,0.000000
yellow,8.949606,-1.762439,0.0,0.025696,0.025696,0.000000
